Código,Nome,Enderezo,Concello,Provincia,Cód. postal,Teléfono,Tipo de centro,COORDENADA_X,COORDENADA_Y,TITULARIDADE,ENSINO_CONCERTADO,DEPENDENTE
36024379,EMUSPR Unión Musical de Coruxo,Estrada DO BAO 65,Vigo,Pontevedra,36331,672106120,EMUSPR,42.19366455078125,-8.781627655029297,Privada,Non,Non
36024380,EDANPR Coppelia,Rúa PI Y MARGALL 61 baixo,Vigo,Pontevedra,36202,986425193,EDANPR,42.233455657958984,-8.730212211608887,Privada,Non,Non
36024392,CPR Aula Estudio,Rúa Santa Marta interior s/n,Vigo,Pontevedra,36202,986436212,CPR,42.234561920166016,-8.730552673339844,Privada,Non,Non
36024409,CEDA Profesional Mayeusis,Rúa Joaquín Costa 58-60,Pontevedra,Pontevedra,36201,986221422,CEDA,42.42797088623047,-8.638139724731445,Privada,Non,Non
36024410,CPR Educatic,Rúa Zamora 106,Vigo,Pontevedra,36211,986211295,CPR,42.222366,-8.727532,Privada,Non,Non
36024458,CPR San Nicolás,Rúa Numancia,Vigo,Pontevedra,36206,986262570,CPR,42.23408126831055,-8.7045259475708,Privada,Non,Non
36024461,IES Audiovisual de Vigo,Rúa Eduardo Cabello s/n,Vigo,Pontevedra,36208,886111152,IES,42.22637176513672,-8.752076148986816,Pública,Non,Si
36024471,CMUS Profesional de Vigo,Rúa Fotógrafo Felipe Prósperi s/n,Vigo,Pontevedra,36209,986213395,CMUS,42.21636962890625,-8.7401704788208,Pública,Non,Si
36024495,CRA de Vilaboa Consuelo González Martínez,Rúa Toural 13,Vilaboa,Pontevedra,36141,618554594,CRA,42.35980987548828,-8.636504173278809,Pública,Non,Si
36024501,EMUSPR de Mos,Rúa OUTEIRO s/n,Mos,Pontevedra,36417,986338325,EMUSPR,42.20405197143555,-8.618816375732422,Privada,Non,Non
36024513,ESMU Municipal Lied em.,"Rúa MIRAFLORES , PAZO EMILIA PARDO BAZAN 26 A",Sanxenxo,Pontevedra,36960,986727936,ESMU,42.40373229980469,-8.7990083694458,Pública,Non,Non
36024525,CIFP de Coia,Rúa Baiona 28,Vigo,Pontevedra,36209,886110905,CIFP,42.21491241455078,-8.75216007232666,Pública,Non,Non
36024537,CE.ART Atlántico,Avenida da  Ponte 9,Vigo,Pontevedra,36215,986266058,CE.ART,42.22201919555664,-8.669607162475586,Privada,Non,Non
36024549,EMUSPR artística de Arcade,Lugar Barroncas,Soutomaior,Pontevedra,36991,,EMUSPR,42.34010314941406,-8.606943130493164,Privada,Non,Non
36024550,CMUS Elemental de Cambados,Rúa San Francisco 3,Cambados,Pontevedra,36630,-,CMUS,42.515445709228516,-8.813223838806152,Pública,Non,Non
36024562,ESMU Municipal de Fornelos de Montes,Rúa das Escolas 7,Fornelos de Montes,Pontevedra,36847,986768409,ESMU,42.34132766723633,-8.452500343322754,Pública,Non,Non
36024574,CEEPR Princesa Letizia,Rúa DUQUE DE TERRANOVA 7,Vilagarcía de Arousa,Pontevedra,36600,986565334,CEEPR,42.590302,-8.772567,Privada,Si,Non
36024586,ESAD Escola Superior de Arte Dramática de Galicia,Rúa POZA CABALO 1,Vigo,Pontevedra,36212,986246399,ESAD,42.20882034301758,-8.759407043457031,Pública,Non,Si
36024598,EOI de Vilagarcía,Rúa Entrante 7,Vilagarcía de Arousa,Pontevedra,36600,986566440,EOI,42.589508056640625,-8.765796661376953,Pública,Non,Si
36024604,CRA de Meis,Lugar Rialdonio 19,Meis,Pontevedra,36637,886151390,CRA,42.526084899902344,-8.69250202178955,Pública,Non,Si
36024616,CRA de Ribadumia,A Costa,Ribadumia,Pontevedra,36635,666410195,CRA,42.52885818481445,-8.740910530090332,Pública,Non,Si
36024628,IES Pedras Rubias,Rúa A Revolta s/n,Salceda de Caselas,Pontevedra,36472,886120550,IES,42.088157653808594,-8.582382202148438,Pública,Non,Si
36024631,CADFS Constantino Castro Ruso,Travesa 3ª travesía Salgueira nº 46,Vigo,Pontevedra,36206,981134238,CADFS,42.22362518310547,-8.715473175048828,Privada,Non,Non
36024641,ESMU Municipal de Mondariz,Rúa Pé do Muíño,Mondariz,Pontevedra,36870,986656573,ESMU,42.234046936035156,-8.471875190734863,Pública,Non,Non
36024653,ESMU Municipal de Moaña,Rúa Cruceiro 88,Moaña,Pontevedra,36950,986310558,ESMU,42.28602981567383,-8.749650001525879,Pública,Non,Non
36024665,EMUSPR Aceimar,Avenida DA PONTE 80,Vigo,Pontevedra,36318,986251511,EMUSPR,42.21495819091797,-8.669435501098633,Privada,Non,Non
36024677,ESMU Municipal de Moraña,Rúa O Buelo 4,Moraña,Pontevedra,36660,,ESMU,42.588287353515625,-8.591866493225098,Pública,Non,Non
36024689,CPR Arturo,Rúa Pi y Margall 40 baixo,Vigo,Pontevedra,36202,986122035,CPR,42.233726501464844,-8.73037052154541,Privada,Non,Non
36024707,ESMU VILA DO CORPOS DE PONTEAREAS,Rúa Castiñeira 1,Ponteareas,Pontevedra,36860,,ESMU,42.173095703125,-8.50709056854248,Pública,Non,Non
